#,Message,Parent #,Merge Commit,Modified Files
e7f77415481f5e212660afdca51607284d26f42f,Same fix for Go for StringIO,c62b2da337a55d073567943cd084933985fa0df2,0,go.py
78d853a2f348c1c0422bd4f4cc9580b829b17047,Fixed step return objects in README.rst (#58),4519a6ffe377ccf370e507c705709bc673c904d5,0,README.rst
95a0151f139cf3eb8331550c710fbd821e9ec222,"Issue 45 - Easily return environment score values (#57)

* Set restriction on selected actions

* Used self.action_space instead of custom set

* Move action validation to core.py

* Added env.score() function to return current score

* Set up multi monitor scoring

* Removed unneccesary package inclusions

* Monitor writes scores automatically. Video callable can now use monitor_id

* Monitor ID not necessary for video filtering

* Fix so final stats get written when env.reset() doesn't happen

* gitignore PyCharm Project Files",9a0a1af5b5782bbdfaeb5cb3b3e84a4c485346e5,0,.gitignore;monitor.py;stats_recorder.py;scoring.py
8781f6d623bf63b7ba2f4e27c2007bd555329b15,"Fix flushing of final episode in monitor

Thanks @JKCooper2.

We also change to getting the PID at monitor construction time, rather
than at runtime. This means you need to start your environments
post-fork, which should be fine.",21169ef6203de9fab03ac131fe89053f0b59286e,0,monitor.py;stats_recorder.py
b37495355e2bd90479c9e391aa951b9a9aebb1b6,Handle deprecated envs better,8781f6d623bf63b7ba2f4e27c2007bd555329b15,0,registration.py;test_registration.py
efb0a45941e4688ff1bed06e68615dc29d15683e,fix taxi (upgrade -> v1). non-functional changes to frozen lake,322433ecffd5cbd1a88a7f8f49146f5fef85d6fe,0,__init__.py;discrete.py;frozen_lake.py;taxi.py
fcff2a67605037a61fe7dc021844d96bb809880e,"fix taxi-v1 (issue #72)
- disallow start location = goal location
- north/south swapped in descriptions",81a4c3e57c4d063b789600dad32728ef49516e75,0,taxi.py
168f25b976010dce9f50a033673fae7a4b3142c7,"Fix Python3 compatibility in Go env (#64)

Under Python3, user inputs are in string format and needs be
converted
into bytes before passing to pachi-py. The returned __repr__ from
pachi-py for the boards are bytes and needs be converted into string
for
line breaks to work.

Also fixed raw_input and print functions in play_go under
examples/scripts with six package.",a20719c8e3a021a7a0f2d27c7b61e8eae5779600,0,play_go;go.py
5efb1c37a975c641df7ff8729a2f630e7e7c0610,"Blackjack environment from Sutton & Barto textbook (#60)

* blackjack environment from sutton & barto textbook

* blackjack: dumb agents can hit at 21

* blackjack: add natural (Casino Rules) flag

* blackjack: style and whitespace fixes

* blackjack: simplify reward calculation",db08326d467f1695b551df567fd62679223103f9,0,__init__.py;__init__.py;blackjack.py
6bb2d56266ae6679c2fb2336b31769a4133400d7,Minor Python3 compat fixes,cda4518b1ebb3e1e5f816d39129d20ac33ea8ff3,0,bipedal_walker.py;lunar_lander.py;blackjack.py;frozen_lake.py;registration.py;test_registration.py
24c352f2959ca79aa5f1322fa25e00e1fac8724f,Fixed description.,cae8f746c641df1c3956272de7a76c73f8f0240a,0,__init__.py
9287889214edd5836b0eea153e81de21b9698f17,"Merge branch 'master' into pr/53

# Conflicts:
#	.gitignore
#	gym/envs/board_game/go.py
#	gym/monitoring/video_recorder.py
#	gym/scoreboard/client/api_requestor.py",e7f77415481f5e212660afdca51607284d26f42f,1,
fc17cc53e43f0174202267a09b67ab0e3ed87c97,"Fixes for pr/53

Add task to scoreboard. Fix HexEnv._render for python 2",f094e7d763792511866f513dc653d5efcc468d70,0,hex.py;__init__.py
fb3367ff9ec4be27c3f43abc33c5df1929c8b144,Fix typo,fc17cc53e43f0174202267a09b67ab0e3ed87c97,0,hex.py
da29f0f2f6a0cab126658931cdf1b60835005976,"Fix observation_space for BipedalWalker (#84)

* Fix observation_space for Bipedal_walker and add warning if observation doesn't fit observation_space

* Remove observation state check on reset.

Multiple environments call reset before action and observation spaces
are initialized.",fb3367ff9ec4be27c3f43abc33c5df1929c8b144,0,core.py
7c9c26da8c089cd34737ccd17402f4f6ca4585f3,Fix hex instantiation,da29f0f2f6a0cab126658931cdf1b60835005976,0,hex.py
d2d940bddb6b39a7cc458700daaf0f3b9e9850aa,"Cartpole observations can occur outside of observation space limits - Issue #88 (#89)

* Set restriction on selected actions

* Used self.action_space instead of custom set

* Move action validation to core.py

* Fix for Cartpole observations outside of observation_space",7515b132921ea924fa0b857a39b079a513de1401,0,core.py;cartpole.py
7c5b96211092dd99d00be057a68a212c243db4fb,scoring.compute_graph_stats Default return and fix import statement (#90),d2d940bddb6b39a7cc458700daaf0f3b9e9850aa,0,scoring.py
ba9fd3435ef7a166554066f06ad59c08aff45205,bipedal_walker: trivial fixes (#93),892485a3ffd3e5bc59457e4a535c7746ae4a4e76,0,bipedal_walker.py
2ae0dbc846469aeb6ac0d3890f1453e6df8f79f6,"Discard viewer object after render with close=True

Fixes #95",064f7377d9eb8c9c97fb418f1cceeb9efd4dad1b,0,atari_env.py;bipedal_walker.py;lunar_lander.py;acrobot.py;cartpole.py;mountain_car.py;pendulum.py;mujoco_env.py;test_envs.py;__init__.py;helpers.py;test_monitor.py;test_monitor_envs.py
9d99853692ad8c169b491e382b711ee6fe56c809,"Fix FrozenLake for Python3

Fixes #76",549b5472764acfb87cccbdeb2c06ae2e75e75f34,0,frozen_lake.py
91413a97684ee20479ca5ca56f558a85295efc9d,"Upgrade pyglet to a base dependency

Fixes #85",8064d994efe43d5277cb8871c0cc92162c082366,0,setup.py
c2587d2bb76c3ab1b882872328caf89a76fd0b36,"BipedalWalker, LunarLander heuristic, retuned (#101)

* bipedal_walker: trivial fixes

* lunar_lander: heuristic test code, renormalized and tested reward, longer state vector

* bipedal_walker: heuristic test code, renormalized and tested reward, legs contact with ground in state vector

* bipedal_walker: description text",91413a97684ee20479ca5ca56f558a85295efc9d,0,__init__.py;bipedal_walker.py;lunar_lander.py
72d29a52f600ac1981c5ccbab4d752dee500049f,"Make close() idempotent, add tests, minor fixes",751dcc15b10cc45122486e5238626c160b51e752,0,core.py;registration.py;test_envs.py;atexit_utils.py;test_atexit.py
163fc3ec821f9253d36af8463a2550dc8427fc79,Cleaned up the code and fixed unintended renaming of algorithmic environment(my IDE has gone wild with renaming during some refectoring I assume),166e296993c6406b5187b46d00ce56e5f1c3608a,0,.project;.pydevproject;algorithmic_env.py;artificial.py;convergence.py
7371debe38da7f6dc2c1403528db6e42e7238706,Small fix to imports,163fc3ec821f9253d36af8463a2550dc8427fc79,0,__init__.py
a6b5d7aa36338485dea74b734c7925b6ef02b89e,Fix registration test,b92796ae890ba388050b047cd8ad8c579407bd74,0,test_envs.py
75c49eb2f3619433eb42ce898f25de40f40862bb,Fix mujoco for PRs on the openai repo,a6b5d7aa36338485dea74b734c7925b6ef02b89e,0,.travis.yml
edaf643c57e8981c7e8b1e1c07482cb4bef6ae06,"Remove deprecated env file, report different error for deprecated envs",75c49eb2f3619433eb42ce898f25de40f40862bb,0,__init__.py;deprecated.py;registration.py;error.py
2d45775e3823cf5a27df92350cbc89963aecc84c,Fix broken registration test to handle new DeprecatedEnv error,90979cf11fe96ed69c41b20eb439b761a630dfd2,0,test_registration.py
0b2b41cc5728674f56f8bc1d652c130034cf1498,Fix typo (doom-py -> doom_py),183e3bb3350fcbab4a2f77557c78a650237ca131,0,setup.py
93ef47a91ba726b37473f040d3c405fd78eb28f6,fix .travis.yml for Doom,a3a24fb5be52c99c9a0f49a0f76976e30291edff,0,.travis.yml
3eb58ffcfb84895dd8af76313faf72eca593cd8e,Fix exception name with new vizdoom,a48e6a01882d9f60bf2a2468a805fedd1ed7383f,0,doom_env.py
69d1115861d8c98726cbc11ca39df3e1083517e9,Fix human rendering for doom as well,bbc0d71ebe6ac372b1fb1b357498760a6552a254,0,doom_env.py
48c689efea7109f1d194a57fc232cab05e1cef3a,Fix action space warning (fixes #108),c77a90ebd88d6f72f78ceba9072c2c16a8cef157,0,core.py
a50113a3a277c07104fe8964ab8f89bc779fb898,Handle draw in go env (#97),4a4b56171cb669591ff52e533dfccf55ed365daf,0,go.py
17dd787c0bbe72e3a7a001971cdfb70dc7166fd6,Fix for #114 (#118),df515de07d0a0767b1b3c8c79e0c1386e0c3f172,0,bipedal_walker.py;lunar_lander.py
7d72afd2f0f666d95a638cdc11d17bb9f6f1de06,Fix crash bug in DoomDeathmatchEnv,17dd787c0bbe72e3a7a001971cdfb70dc7166fd6,0,deathmatch.cfg;doom_deathmatch.py
40997b911881df683082b19e496a8922ea8d0c7f,atomic_write.py: Handle missing destination file on Windows,a0d02882c2759df32d1a743b63f54bce4705f20a,0,atomic_write.py
8376580c85417b1f1cd2bf0a1a3ae9f5f07b32e3,"Improve closer implementation and docstrings (#126)

* Improve auto close implementation

- Register all envs at initialization time, not just ones created via make
- Simplify names and add more documentation on interface
- Move closer instances into the relevant modules

review-requested: @jietang

* Close environments in the tests

This isn't strictly needed, but means there are fewer Doom
subprocesses hanging around while the tests run.

* Use 4 space indent in comment

* Improve docstrings in core

* Don't pass through args to __new__

The __init__ method gets called once __new__ returns,
so these arguments are either ignored (Python 2) or
result in an error (Python 3). The __init__ method
automatically gets called with the correct arguments.

* Fixup comments",eb8a9baaa3f756077ef393c8e3774a4b6bc6cc9a,0,core.py;registration.py;test_envs.py;monitor.py;test_monitor_envs.py;test_core.py;atexit_utils.py;closer.py;test_atexit.py
2e26518b4fe53d4f292a666f63d71f68545f2924,"Fixes tar file generation for upload on Windows (#129)

* Fixes tar file generation for upload on Windows

The temp file cannot be added to the tar while open on Windows.

* Update api.py

* Rewritten with try..finally

* Fix indent.",56ac98a841acbed2887c06593347804a8c789ee8,0,api.py
5c8e34029deedb0b04fb70ea94f2eecba2b2016c,Fixes according to feedback to pull #104,7371debe38da7f6dc2c1403528db6e42e7238706,0,test_tuning.py;test_envs.py;__init__.py;setup.py
53c0446a37f56d523a40b21aa41128a7bc8b4768,Small additional fixes,5c8e34029deedb0b04fb70ea94f2eecba2b2016c,0,convergence.py
3e32cf20b9408ecc20a4f5c3642354718c59bb5a,small fix to the dataset size selection,53c0446a37f56d523a40b21aa41128a7bc8b4768,0,convergence.py
58e6aa95e5af2c738557431f812abb81c505a7cf,"[WIP] add support for seeding environments (#135)

* Make environments seedable

* Fix monitor bugs

- Set monitor_id before setting the infix. This was a bug that would yield incorrect results with multiple monitors.
- Remove extra pid from stats recorder filename. This should be purely cosmetic.

* Start uploading seeds in episode_batch

* Fix _bigint_from_bytes for python3

* Set seed explicitly in random_agent

* Pass through seed argument

* Also pass through random state to spaces

* Pass random state into the observation/action spaces

* Make all _seed methods return the list of used seeds

* Switch over to np.random where possible

* Start hashing seeds, and also seed doom engine

* Fixup seeding determinism in many cases

* Seed before loading the ROM

* Make seeding more Python3 friendly

* Make the MuJoCo skipping a bit more forgiving

* Remove debugging PDB calls

* Make setInt argument into raw bytes

* Validate and upload seeds

* Skip box2d

* Make seeds smaller, and change representation of seeds in upload

* Handle long seeds

* Fix RandomAgent example to be deterministic

* Handle integer types correctly in Python2 and Python3

* Try caching pip

* Try adding swap

* Add df and free calls

* Bump swap

* Bump swap size

* Try setting overcommit

* Try other sysctls

* Try fixing overcommit

* Try just setting overcommit_memory=1

* Add explanatory comment

* Add what's new section to readme

* BUG: Mark ElevatorAction-ram-v0 as non-deterministic for now

* Document seed

* Move nondetermistic check into spec",2e26518b4fe53d4f292a666f63d71f68545f2924,0,.gitignore;.travis.yml;README.rst;random_agent.py;configuration.py;core.py;__init__.py;algorithmic_env.py;copy.py;duplicated_input.py;repeat_copy.py;reverse.py;reversed_addition.py;atari_env.py;go.py;hex.py;bipedal_walker.py;car_racing.py;lunar_lander.py;acrobot.py;cartpole.py;mountain_car.py;pendulum.py;doom_basic.py;doom_corridor.py;doom_deathmatch.py;doom_defend_center.py;doom_defend_line.py;doom_health_gathering.py;doom_my_way_home.py;doom_predict_position.py;doom_take_cover.py;ant.py;half_cheetah.py;hopper.py;humanoid.py;humanoidstandup.py;inverted_double_pendulum.py;inverted_pendulum.py;mujoco_env.py;reacher.py;swimmer.py;walker2d.py;registration.py;test_determinism.py;test_envs.py;blackjack.py;discrete.py;frozen_lake.py;nchain.py;roulette.py;taxi.py;error.py;monitor.py;stats_recorder.py;api.py;box.py;discrete.py;high_low.py;seeding.py;test_seeding.py
8cbcc698163d883ffca39c31fa39af3e2b6cbe94,Fix argument to env registration,58e6aa95e5af2c738557431f812abb81c505a7cf,0,__init__.py
fa94d301564fe2e31cabd3440224c9a373104fd0,Fix other nondetermistic -> nondeterministic,8cbcc698163d883ffca39c31fa39af3e2b6cbe94,0,test_determinism.py
fb9b3914648fe79e24c0ca08104da09514ef46f4,Fix summary of environment,3e32cf20b9408ecc20a4f5c3642354718c59bb5a,0,__init__.py
0c5a7d091a4c671ba49fd5b76f4a17a377b91d0d,humanoidstandup fix,6876c30f92f2f3cf83864795df6df878f1a4fdc2,0,humanoidstandup.py
7de864b31b11cb4afa215db47c6484ea99b3841e,Fix #137: don't open car racing window on reset,641cb3d2d26577e4e0919ee4d92291cce1173765,0,car_racing.py
5597dddc552ada561208d66acff8e854c5623332,Fix mountain car rendering (#147),7de864b31b11cb4afa215db47c6484ea99b3841e,0,mountain_car.py
b235a102aaea20efeb75093c05dedac7449fbc5f,Fix the reward when diverged,e0421ae5c5b8ea056a54eb9422bfb1d3f9cbef39,0,train_deep_cnn.py
1635a46c7f9d7f7c4c0400d499424e9282b6a681,"Improved description of cnn classif environment, made some fixes to env itself",aa77679d4b1125bf555aaf7cb7c5ebe76829a85b,0,train_deep_cnn.py;__init__.py
d5bfb848bb38e3d44f53b07784918df5ceedf5dc,Fixed shape of observation,1635a46c7f9d7f7c4c0400d499424e9282b6a681,0,train_deep_cnn.py
74f0f545e39d4da6974f6c48e066c65ad96b96fc,Add Doom to README.rst (Fix #136),5597dddc552ada561208d66acff8e854c5623332,0,README.rst
4ddee9b2d35bd516e5759db60c92d827c25c94ef,Suppress warning from deathmatch.cfg (Fix #130),74f0f545e39d4da6974f6c48e066c65ad96b96fc,0,deathmatch.cfg
eb998c746a8fadb8018cfbc18b961f818fffb998,"add swig to the list of dependencies to be installed with homebrew (#146)

Without this installing box2d on OSX fails with:
    unable to execute 'swig': No such file or directory
    error: command 'swig' failed with exit status 1""",4ddee9b2d35bd516e5759db60c92d827c25c94ef,0,README.rst
7cbc24ba0826d1a7a20c4ab45dc47fb3f008eb51,Fix failing DoomDeathmatch test (altattack -> alattack),da6ad52196ec69d6047e9c44a410fef95fa2b003,0,deathmatch.cfg;doom_deathmatch.py
81a99013bc344212e4847cd020757531f98e5870,Fix car_dynamics import,43992f47522e906194d8691bd0ad42b2cb0e1a9b,0,car_racing.py
0079589bbc334b0814267f5d493d03e2f800b4c6,"Update README.rst (#158)

Fixed LunarLander version in code sample.",491cbca5afb3fa8e3b10447b6751ec0c0acb9113,0,README.rst
c183708a5224f4c2912a1c7939ebdad79a289237,Correct self -> env,790f02e4713ede9592dcd882a949e7676e995c7a,0,core.py
e759526268ec8d698fbdd315829d395c88024b6d,Handle monitor close better,c183708a5224f4c2912a1c7939ebdad79a289237,0,core.py;monitor.py
7605986f099dd0ebcfee3b6806bac857e26da2b5,Push up x_threshold to silence warnings: fixes #88,116b03144cc21e1e969da7e871fc9d0964c169e9,0,cartpole.py
a1f80e2fa9eb9bf51c7e1be50867abfe2ad4936b,"Only create ~/.mujoco if MUJOCO_KEY_BUNDLE is set

This will fix PR builds. CF:

  https://github.com/openai/gym/pull/171/files/37b87ccba6302b442eae940b74539a3f56dd36ef#r66727379",c784b71aedb5fa459b1e437a7d258c16efc9accc,0,.travis.yml
0df07849e7198dcc88a560a25d2ca219482414f3,Fixes reset states for 2 interpretability envs (#180),93e49ba2c81e08489de056e0e771bfb61748ab23,0,interpretability_cartpole_actions.py;interpretability_cartpole_observations.py
af5bb400fefceec7ad197ee5a12905982a401a7a,"trivial fix for #143 (#187)

* trivial fix for #143

* #143 same fix for other environments, not really necessary, but still",2aa03d6088e6a7d95c68da6d7d229b17243bc121,0,bipedal_walker.py;car_racing.py;lunar_lander.py
aff7a643cc67c7c7a3a9d9a705dda803072807d7,"Doom - Same Action Space Across Environments (#157)

* Doom - Added reward_threshold and timestep_limit for all environments

* Doom - Returning all available game variables

* Doom - Moved _seed to doom_env to avoid repetition in every environment

* Doom - Added ALT_ATTACK and made all action_space equivalent (same controls between environments).

* Doom - Actions can either be a short list of allowed actions or the full list of 41 commands

* Doom - Returning black observation space on error or is_finished, rather than empty list (which was triggering an error)

* Doom - HighLow.sample() returns the small list.

* Doom - Updated difficulty for some missions

* Doom - Fixed inconsistency between controls.md and deathmatch.cfg

* Doom - Issue #168 - Remove sleep statement from DoomEnv render

* Doom - Only using full action space (43 keys)

- Added 'normal', 'fast' and 'human' mode
- Set non-deterministic to True
- Set video.frames_per_second to 35
- Properly returning game variables

* Replaced warnings.warn by logger.warn

* Doom - Added NUM_ACTIONS and action_idx instead of x

* Doom - Added NUM_ACTIONS and action_idx instead of x

* Doom - reset() only calls game.new_episode() after first call

* Doom is now deterministic

* Doom - Partial fix for issue #167 - DoomDeathmatch environment crashes sporadically

* Doom - Standardized envs, simplified _reset

* Doom - Removed temporary fix for issue #167

* Doom - Added scoreboard summary and description",5b8603066c104f10df9cc197ed985a852215f260,0,__init__.py;basic.cfg;deadly_corridor.cfg;deathmatch.cfg;defend_the_center.cfg;defend_the_line.cfg;health_gathering.cfg;my_way_home.cfg;predict_position.cfg;take_cover.cfg;controls.md;doom_basic.py;doom_corridor.py;doom_deathmatch.py;doom_defend_center.py;doom_defend_line.py;doom_env.py;doom_health_gathering.py;doom_my_way_home.py;doom_predict_position.py;doom_take_cover.py;test_envs.py;__init__.py;discrete.py;high_low.py;__init__.py
5372d34b37bf500b0017bef4b234849c937c1529,"Fix failing tests by making safety cartpole envs contain a cartpole rather than
inheriting from it",8a545eeb5942801d94dbd36e7d8be4c696d4bdd7,0,predict_actions_cartpole.py;predict_obs_cartpole.py
0d5312e8359ed7fce3b307d947f056da5124903e,fixes error in safety envs description of pendulum problems (#208),a46972cf8d6dd3693bf95d3765c465338e69dc5e,0,__init__.py
a7e5a581dc0b9c4224622df438734612045cefd8,scoring.py: Avoid NaN when computing standard error,ad4930c812afb494048ca821fe439369a3f41bd3,0,scoring.py
1e86e73919117e94bdbc843989fe9aff0c020814,fixes cartpole observation_space (#210),f59ec3d2872e84865b6020bcbb6b0eae0b77dcb4,0,cartpole.py
